timestamp,wind_kw,load_kw,Temperature,DHI,DNI,GHI,Pressure,Wind Speed,pv_kw
1/1/2014 00,0.0,9891.0,6.3,0,0,0,905,1.5,0.0
1/1/2014 01,0.0,9553.0,6.2,0,0,0,905,1.5,0.0
1/1/2014 02,0.0,9222.0,6.1,0,0,0,905,1.6,0.0
1/1/2014 03,0.0,9024.0,5.9,0,0,0,905,1.6,0.0
1/1/2014 04,0.0,8987.0,5.6,0,0,0,906,1.6,0.0
1/1/2014 05,0.0,9028.0,5.3,0,0,0,906,1.6,0.0
1/1/2014 06,0.0,9136.0,5.5,0,0,0,907,1.5,0.0
1/1/2014 07,0.0,8882.0,8.1,22,461,57,907,1.4,9682.08
1/1/2014 08,0.0,9020.0,12.7,44,772,231,907,2.0,35462.9
1/1/2014 09,0.0,9180.0,16.3,55,892,392,907,3.3,53594.6
1/1/2014 10,0.0,9330.0,18.3,59,952,508,907,3.9,65286.9
1/1/2014 11,0.0,9361.0,19.3,230,588,535,906,3.8,61802.1
1/1/2014 12,0.0,9376.0,19.7,65,961,561,906,3.6,69618.6
1/1/2014 13,0.0,9371.0,19.3,66,925,493,905,3.3,62909.2
1/1/2014 14,0.0,9402.0,18.0,58,861,369,906,2.4,50180.0
1/1/2014 15,0.0,9523.0,14.4,45,721,204,906,1.4,31249.4
1/1/2014 16,0.0,9952.0,11.1,18,351,37,906,1.2,5762.74
1/1/2014 17,0.0,11444.0,9.9,0,0,0,906,1.2,0.0
1/1/2014 18,0.0,11766.0,9.0,0,0,0,907,1.2,0.0
1/1/2014 19,0.0,11678.0,8.3,0,0,0,907,1.3,0.0
1/1/2014 20,0.0,11451.0,7.9,0,0,0,907,1.4,0.0
1/1/2014 21,0.0,11116.0,7.8,0,0,0,907,1.5,0.0
1/1/2014 22,0.0,10408.0,7.7,0,0,0,907,1.5,0.0
1/1/2014 23,0.0,9653.0,7.6,0,0,0,907,1.5,0.0
1/2/2014 00,0.0,9191.0,7.4,0,0,0,907,1.5,0.0
1/2/2014 01,0.0,8860.0,7.2,0,0,0,907,1.6,0.0
1/2/2014 02,0.0,8682.0,6.8,0,0,0,906,1.6,0.0
1/2/2014 03,0.0,8676.0,6.5,0,0,0,906,1.5,0.0
1/2/2014 04,0.0,8917.0,6.2,0,0,0,906,1.5,0.0
1/2/2014 05,0.0,9553.0,6.0,0,0,0,906,1.5,0.0
1/2/2014 06,0.0,10236.0,6.1,0,0,0,906,1.4,0.0
1/2/2014 07,0.0,10666.0,8.7,22,437,55,906,1.4,9177.94
1/2/2014 08,0.0,11157.0,12.8,44,751,225,907,2.1,34606.9
1/2/2014 09,0.0,11458.0,15.8,54,874,384,907,3.0,52520.5
1/2/2014 10,0.0,11673.0,17.6,60,931,500,906,3.1,63881.8
1/2/2014 11,0.0,11712.0,18.6,62,950,556,905,2.9,68804.0
1/2/2014 12,0.0,11772.0,19.1,63,947,553,904,2.6,68059.1
1/2/2014 13,0.0,11710.0,18.9,58,924,487,904,2.3,61608.6
1/2/2014 14,0.0,11708.0,17.7,53,860,366,904,1.7,49420.6
1/2/2014 15,0.0,11699.0,14.4,42,723,203,904,1.2,31137.1
1/2/2014 16,78.4317,11893.0,11.5,18,364,38,904,1.1,6012.95
1/2/2014 17,0.0,13016.0,10.4,0,0,0,904,1.2,0.0
1/2/2014 18,0.0,13142.0,9.7,0,0,0,904,1.1,0.0
1/2/2014 19,0.0,12868.0,9.0,0,0,0,904,1.1,0.0
1/2/2014 20,0.0,12526.0,8.6,0,0,0,904,1.2,0.0
1/2/2014 21,0.0,11983.0,8.4,0,0,0,904,1.2,0.0
1/2/2014 22,0.0,11091.0,8.4,0,0,0,904,1.2,0.0
1/2/2014 23,0.0,10246.0,8.5,0,0,0,903,1.2,0.0
1/3/2014 00,0.0,9592.0,8.5,0,0,0,903,1.2,0.0
1/3/2014 01,0.0,9179.0,8.4,0,0,0,903,1.2,0.0
1/3/2014 02,0.0,8934.0,8.3,0,0,0,902,1.2,0.0
1/3/2014 03,0.0,8845.0,8.3,0,0,0,902,1.1,0.0
1/3/2014 04,0.0,9057.0,8.6,0,0,0,902,1.0,0.0
1/3/2014 05,0.0,9525.0,9.2,0,0,0,902,0.9,0.0
1/3/2014 06,0.0,10423.0,9.7,0,0,0,902,0.8,0.0
1/3/2014 07,0.0,10820.0,10.3,23,417,55,903,0.7,8759.68
1/3/2014 08,0.0,11201.0,11.9,111,3,111,903,0.7,9769.31
1/3/2014 09,0.0,11534.0,14.5,222,33,234,903,0.5,21578.7
1/3/2014 10,0.0,11694.0,17.2,255,328,411,902,0.5,44038.7
1/3/2014 11,0.0,11674.0,18.8,230,595,540,901,0.7,59620.6
1/3/2014 12,0.0,11626.0,19.5,72,929,554,900,0.8,65406.3
1/3/2014 13,0.0,11611.0,19.5,284,201,378,899,1.0,38679.3
1/3/2014 14,0.0,11557.0,18.3,227,85,258,899,0.9,25747.0
1/3/2014 15,0.0,11510.0,15.0,51,665,201,899,0.8,29841.0
1/3/2014 16,0.0,11693.0,12.0,21,287,37,899,0.9,5405.83
1/3/2014 17,0.0,12869.0,11.0,0,0,0,899,0.9,0.0
1/3/2014 18,0.0,12956.0,10.4,0,0,0,900,0.9,0.0
1/3/2014 19,0.0,12803.0,9.8,0,0,0,900,1.0,0.0
1/3/2014 20,0.0,12489.0,9.4,0,0,0,900,1.1,0.0
1/3/2014 21,611.652,12076.0,9.0,0,0,0,900,1.1,0.0
1/3/2014 22,0.0,11276.0,8.6,0,0,0,899,1.2,0.0
1/3/2014 23,0.0,10390.0,8.1,0,0,0,899,1.3,0.0
1/4/2014 00,0.0,9718.0,7.3,0,0,0,899,1.4,0.0
1/4/2014 01,0.0,9306.0,6.6,0,0,0,898,1.4,0.0
1/4/2014 02,0.0,9061.0,6.1,0,0,0,898,1.4,0.0
1/4/2014 03,766.377,8943.0,5.8,0,0,0,898,1.4,0.0
1/4/2014 04,0.0,8994.0,5.3,0,0,0,898,1.4,0.0
1/4/2014 05,0.0,9251.0,4.8,0,0,0,898,1.4,0.0
1/4/2014 06,72.7438,9657.0,4.9,0,0,0,898,1.3,0.0
1/4/2014 07,0.0,9741.0,7.6,33,1,33,899,1.2,2279.53
1/4/2014 08,598.448,10032.0,11.6,46,757,229,900,1.6,34965.4
1/4/2014 09,878.14,10267.0,15.1,59,878,391,901,2.3,53000.0
1/4/2014 10,0.0,10334.0,17.7,67,932,509,901,3.1,64633.1
1/4/2014 11,700.095,10283.0,18.6,70,955,570,900,3.4,70360.0
1/4/2014 12,27.5241,10205.0,18.7,70,956,567,900,3.3,70122.1
1/4/2014 13,0.0,10089.0,18.5,65,932,501,900,2.9,63518.6
1/4/2014 14,0.0,10044.0,17.4,58,879,381,901,2.3,51550.5
1/4/2014 15,0.0,10078.0,14.1,45,746,215,901,1.4,32706.8
1/4/2014 16,0.0,10305.0,10.5,20,393,43,902,1.1,6741.67
1/4/2014 17,0.0,11686.0,8.9,0,0,0,902,1.2,0.0
1/4/2014 18,0.0,11962.0,7.7,0,0,0,903,1.3,0.0
1/4/2014 19,1365.22,11846.0,6.5,0,0,0,903,1.3,0.0
1/4/2014 20,11970.6,11593.0,5.3,0,0,0,904,1.4,0.0
1/4/2014 21,4344.94,11151.0,4.1,0,0,0,904,1.5,0.0
1/4/2014 22,5341.37,10478.0,3.1,0,0,0,904,1.6,0.0
1/4/2014 23,21702.8,9746.0,2.5,0,0,0,904,1.8,0.0
1/5/2014 00,7545.94,9250.0,2.1,0,0,0,905,1.9,0.0
1/5/2014 01,0.0,8858.0,1.9,0,0,0,905,1.9,0.0
1/5/2014 02,0.0,8602.0,1.6,0,0,0,905,1.9,0.0
1/5/2014 03,1138.63,8462.0,1.3,0,0,0,905,1.8,0.0
1/5/2014 04,0.0,8467.0,1.1,0,0,0,905,1.7,0.0
1/5/2014 05,0.0,8653.0,1.0,0,0,0,905,1.8,0.0
1/5/2014 06,0.0,8991.0,1.7,0,0,0,906,1.9,0.0
1/5/2014 07,701.732,9026.0,4.8,21,510,60,907,2.8,10367.1
1/5/2014 08,725.911,9289.0,8.5,41,815,239,907,4.2,37464.7
1/5/2014 09,0.0,9506.0,11.0,52,929,405,908,5.0,56897.1
1/5/2014 10,2580.68,9656.0,12.9,61,978,526,908,5.0,69076.6
1/5/2014 11,3467.05,9722.0,14.4,64,999,588,907,4.6,74463.7
1/5/2014 12,760.842,9775.0,15.4,65,997,586,906,4.2,73859.9
1/5/2014 13,0.0,9786.0,15.8,61,974,519,906,3.7,66918.4
1/5/2014 14,0.0,9794.0,14.9,55,915,394,906,2.9,54047.9
1/5/2014 15,0.0,9872.0,11.3,44,786,225,906,1.7,34745.0
1/5/2014 16,0.0,10215.0,7.4,20,438,47,906,1.3,7575.26
1/5/2014 17,0.0,11634.0,5.9,0,0,0,907,1.3,0.0
1/5/2014 18,0.0,12019.0,5.3,0,0,0,908,1.3,0.0
1/5/2014 19,0.0,11892.0,4.8,0,0,0,908,1.3,0.0
1/5/2014 20,0.0,11644.0,4.2,0,0,0,909,1.4,0.0
1/5/2014 21,0.0,11126.0,3.5,0,0,0,909,1.5,0.0
1/5/2014 22,1275.23,10362.0,2.8,0,0,0,909,1.5,0.0
1/5/2014 23,914.428,9695.0,2.2,0,0,0,909,1.5,0.0
1/6/2014 00,144.331,9261.0,1.7,0,0,0,909,1.5,0.0
1/6/2014 01,692.034,8972.0,1.2,0,0,0,909,1.6,0.0
1/6/2014 02,0.0,8813.0,0.9,0,0,0,909,1.6,0.0
1/6/2014 03,0.0,8867.0,0.7,0,0,0,909,1.7,0.0
1/6/2014 04,0.0,9170.0,0.7,0,0,0,909,1.8,0.0
1/6/2014 05,0.0,9698.0,0.6,0,0,0,909,1.8,0.0
1/6/2014 06,0.0,10606.0,1.3,0,0,0,909,1.9,0.0
1/6/2014 07,0.0,11128.0,4.5,23,483,59,910,2.5,9992.07
1/6/2014 08,0.0,11436.0,8.6,45,801,239,910,3.7,37439.5
1/6/2014 09,0.0,11612.0,11.5,57,919,406,910,4.3,56573.0
1/6/2014 10,0.0,11733.0,13.5,64,972,528,910,4.0,68429.8
1/6/2014 11,0.0,11786.0,14.9,68,994,590,909,3.5,73896.8
1/6/2014 12,0.0,11773.0,15.6,222,463,465,908,2.7,53443.5
1/6/2014 13,0.0,11824.0,15.6,289,250,407,908,1.8,43180.4
1/6/2014 14,0.0,11794.0,14.3,210,45,227,907,1.0,22096.2
1/6/2014 15,0.0,11732.0,12.2,131,63,146,907,0.7,15032.3
1/6/2014 16,0.0,11787.0,10.6,32,6,32,907,0.8,2114.98
1/6/2014 17,0.0,12872.0,9.6,0,0,0,907,0.8,0.0
1/6/2014 18,0.0,13126.0,8.8,0,0,0,906,0.8,0.0
1/6/2014 19,0.0,12865.0,8.4,0,0,0,906,0.9,0.0
1/6/2014 20,0.0,12535.0,8.4,0,0,0,906,0.9,0.0
1/6/2014 21,0.0,11879.0,8.8,0,0,0,906,0.9,0.0
1/6/2014 22,0.0,10909.0,8.9,0,0,0,906,1.0,0.0
1/6/2014 23,0.0,9995.0,8.7,0,0,0,906,1.1,0.0
1/7/2014 00,634.421,9351.0,8.3,0,0,0,905,1.2,0.0
1/7/2014 01,747.571,9008.0,7.9,0,0,0,905,1.2,0.0
1/7/2014 02,0.0,8815.0,7.5,0,0,0,904,1.3,0.0
1/7/2014 03,838.946,8755.0,7.2,0,0,0,904,1.3,0.0
1/7/2014 04,434.568,8990.0,6.9,0,0,0,904,1.3,0.0
1/7/2014 05,0.0,9705.0,7.0,0,0,0,903,1.2,0.0
1/7/2014 06,0.0,10899.0,7.5,0,0,0,904,1.1,0.0
1/7/2014 07,0.0,11512.0,9.0,34,3,34,904,0.8,2393.2
1/7/2014 08,0.0,11738.0,11.7,144,34,152,904,0.9,15443.9
1/7/2014 09,0.0,11860.0,14.0,234,149,290,905,1.1,30793.6
1/7/2014 10,0.0,11950.0,15.1,254,377,434,904,1.1,47740.5
1/7/2014 11,0.0,11998.0,15.3,315,260,452,903,1.2,46915.8
1/7/2014 12,0.0,11968.0,15.2,299,327,470,903,1.4,50489.0
1/7/2014 13,0.0,11954.0,14.6,231,487,462,902,1.5,52361.6
1/7/2014 14,0.0,11885.0,13.0,179,30,190,902,1.1,17189.3
1/7/2014 15,0.0,11848.0,10.4,84,5,85,902,0.7,7125.36
1/7/2014 16,0.0,12103.0,7.9,29,2,29,902,0.8,1791.27
1/7/2014 17,652.697,13222.0,6.2,0,0,0,903,1.1,0.0
1/7/2014 18,623.951,13378.0,5.2,0,0,0,903,1.2,0.0
1/7/2014 19,0.0,13129.0,4.4,0,0,0,903,1.3,0.0
1/7/2014 20,0.0,12743.0,3.4,0,0,0,903,1.4,0.0
1/7/2014 21,0.0,12121.0,2.4,0,0,0,903,1.5,0.0
1/7/2014 22,0.0,11156.0,2.0,0,0,0,902,1.6,0.0
1/7/2014 23,32762.4,10180.0,1.8,0,0,0,902,1.7,0.0
1/8/2014 00,39414.8,9531.0,1.6,0,0,0,902,1.7,0.0
1/8/2014 01,37502.9,9261.0,1.5,0,0,0,901,1.8,0.0
1/8/2014 02,14194.5,9143.0,1.6,0,0,0,901,1.9,0.0
1/8/2014 03,10971.5,9097.0,1.8,0,0,0,901,1.8,0.0
1/8/2014 04,11994.0,9184.0,1.8,0,0,0,901,1.7,0.0
1/8/2014 05,18538.6,9907.0,1.6,0,0,0,901,1.6,0.0
1/8/2014 06,1633.57,10994.0,2.4,0,0,0,902,1.5,0.0
1/8/2014 07,1476.13,11645.0,5.6,34,1,34,902,1.3,2407.44
1/8/2014 08,2295.66,11925.0,10.0,45,800,240,903,1.3,36521.4
1/8/2014 09,0.0,12054.0,13.5,56,920,407,903,1.1,54246.9
1/8/2014 10,0.0,12072.0,15.9,64,972,530,903,0.5,64121.4
1/8/2014 11,0.0,11860.0,17.0,67,984,588,902,0.5,68642.7
1/8/2014 12,0.0,11761.0,17.3,68,974,583,902,1.2,69476.4
1/8/2014 13,0.0,11821.0,16.8,67,944,517,901,1.7,64293.0
1/8/2014 14,0.0,11789.0,15.4,60,876,391,901,1.8,52295.6
1/8/2014 15,0.0,11715.0,11.9,48,734,223,901,1.3,33539.3
1/8/2014 16,0.0,12126.0,8.2,29,0,29,901,0.9,1751.69
1/8/2014 17,0.0,13479.0,6.8,0,0,0,901,1.0,0.0
1/8/2014 18,0.0,13799.0,6.2,0,0,0,901,1.0,0.0
1/8/2014 19,0.0,13587.0,6.2,0,0,0,901,1.0,0.0
1/8/2014 20,0.0,13233.0,6.4,0,0,0,902,1.1,0.0
1/8/2014 21,0.0,12603.0,6.6,0,0,0,902,1.1,0.0
1/8/2014 22,0.0,11544.0,6.5,0,0,0,902,1.2,0.0
1/8/2014 23,0.0,10639.0,5.8,0,0,0,901,1.2,0.0
1/9/2014 00,0.0,10046.0,4.8,0,0,0,901,1.1,0.0
1/9/2014 01,0.0,9854.0,4.1,0,0,0,901,1.2,0.0
1/9/2014 02,0.0,9629.0,3.5,0,0,0,901,1.4,0.0
1/9/2014 03,0.0,9635.0,3.2,0,0,0,901,1.7,0.0
1/9/2014 04,0.0,9689.0,3.3,0,0,0,901,1.8,0.0
1/9/2014 05,18567.5,10246.0,3.9,0,0,0,901,1.8,0.0
1/9/2014 06,24338.5,11422.0,4.6,0,0,0,901,1.7,0.0
1/9/2014 07,26273.5,11908.0,6.4,28,1,28,901,2.1,1801.77
1/9/2014 08,17723.9,12121.0,9.3,139,55,152,902,3.1,15906.3
1/9/2014 09,25145.4,12298.0,12.0,211,126,260,901,4.0,27114.5
1/9/2014 10,31072.1,12387.0,14.2,212,372,391,901,4.6,44933.3
1/9/2014 11,37683.0,12305.0,15.5,251,359,441,900,4.6,49365.5
1/9/2014 12,30866.3,12217.0,16.0,251,345,434,899,4.1,48183.3
1/9/2014 13,7402.9,12219.0,16.2,297,187,387,899,3.3,40526.0
1/9/2014 14,0.0,12250.0,15.4,66,839,385,900,2.8,52035.7
1/9/2014 15,0.0,12212.0,12.5,52,705,222,900,2.1,33150.0
1/9/2014 16,0.0,12250.0,9.0,24,362,50,901,1.6,7638.76
1/9/2014 17,0.0,13370.0,7.2,0,0,0,901,1.6,0.0
1/9/2014 18,2528.22,13660.0,6.3,0,0,0,902,1.6,0.0
1/9/2014 19,14751.2,13502.0,5.8,0,0,0,902,1.5,0.0
1/9/2014 20,23278.5,13142.0,5.7,0,0,0,903,1.4,0.0
1/9/2014 21,24932.2,12509.0,5.8,0,0,0,903,1.3,0.0
1/9/2014 22,16036.4,11652.0,6.1,0,0,0,903,1.3,0.0
1/9/2014 23,11725.2,10734.0,6.3,0,0,0,903,1.3,0.0
1/10/2014 00,7810.52,10179.0,6.2,0,0,0,904,1.4,0.0
1/10/2014 01,1540.16,10000.0,6.1,0,0,0,904,1.4,0.0
1/10/2014 02,135.425,9750.0,6.4,0,0,0,904,1.4,0.0
1/10/2014 03,0.0,9631.0,6.7,0,0,0,903,1.3,0.0
1/10/2014 04,0.0,9832.0,6.9,0,0,0,903,1.2,0.0
1/10/2014 05,0.0,10237.0,7.1,0,0,0,903,1.1,0.0
1/10/2014 06,0.0,11249.0,7.8,0,0,0,904,1.0,0.0
1/10/2014 07,0.0,11830.0,10.0,32,1,32,904,0.9,2158.56
1/10/2014 08,0.0,12009.0,13.2,47,748,231,905,0.8,34046.8
1/10/2014 09,0.0,12096.0,16.3,59,874,395,905,0.8,51381.7
1/10/2014 10,0.0,12187.0,18.9,64,936,516,904,0.9,62236.8
1/10/2014 11,0.0,12140.0,20.4,67,960,580,903,1.5,68384.8
1/10/2014 12,0.0,12070.0,20.8,70,956,579,903,2.1,69064.5
1/10/2014 13,0.0,12056.0,20.3,71,915,512,902,2.5,63122.2
1/10/2014 14,0.0,12001.0,18.7,65,848,390,902,2.5,51711.5
1/10/2014 15,0.0,11918.0,15.1,52,708,225,903,1.8,33017.8
1/10/2014 16,0.0,11922.0,11.2,26,351,52,903,1.2,7876.99
1/10/2014 17,0.0,12859.0,9.4,0,0,0,903,1.2,0.0
1/10/2014 18,0.0,13065.0,8.7,0,0,0,904,1.2,0.0
1/10/2014 19,0.0,12780.0,8.3,0,0,0,904,1.2,0.0
1/10/2014 20,0.0,12382.0,8.3,0,0,0,904,1.2,0.0
1/10/2014 21,0.0,11917.0,8.3,0,0,0,905,1.3,0.0
1/10/2014 22,0.0,11144.0,8.2,0,0,0,905,1.4,0.0
1/10/2014 23,0.0,10415.0,8.0,0,0,0,905,1.4,0.0
1/11/2014 00,0.0,9846.0,8.0,0,0,0,905,1.3,0.0
1/11/2014 01,0.0,9445.0,8.2,0,0,0,905,1.2,0.0
1/11/2014 02,0.0,9299.0,8.4,0,0,0,905,1.1,0.0
1/11/2014 03,0.0,9176.0,8.5,0,0,0,905,1.0,0.0
1/11/2014 04,0.0,9220.0,8.5,0,0,0,905,0.9,0.0
1/11/2014 05,0.0,9362.0,8.6,0,0,0,905,0.9,0.0
1/11/2014 06,0.0,9772.0,9.1,0,0,0,905,0.8,0.0
1/11/2014 07,0.0,9918.0,10.5,36,1,36,905,0.7,2570.64
1/11/2014 08,0.0,10228.0,13.0,50,744,233,905,0.7,34156.5
1/11/2014 09,0.0,10449.0,15.8,62,874,399,905,1.4,52388.5
1/11/2014 10,1084.8,10574.0,18.2,66,946,525,905,2.6,65182.4
1/11/2014 11,974.114,10628.0,19.8,71,968,589,903,3.9,71822.8
1/11/2014 12,2867.35,10581.0,20.3,294,212,408,902,5.1,42067.4
1/11/2014 13,1367.01,10514.0,19.1,253,65,285,902,5.7,27219.1
1/11/2014 14,12388.8,10487.0,16.5,143,564,361,902,5.5,45543.1
1/11/2014 15,27597.3,10476.0,13.3,131,131,163,902,4.6,18137.7
1/11/2014 16,11708.5,10672.0,10.6,38,8,38,902,3.6,2926.13
1/11/2014 17,0.0,11862.0,9.0,0,0,0,902,3.1,0.0
1/11/2014 18,0.0,12131.0,8.1,0,0,0,902,2.7,0.0
1/11/2014 19,6576.2,11989.0,7.5,0,0,0,902,2.5,0.0
1/11/2014 20,2063.38,11770.0,7.0,0,0,0,902,2.5,0.0
1/11/2014 21,11089.0,11367.0,6.6,0,0,0,902,2.8,0.0
1/11/2014 22,4222.27,10694.0,6.7,0,0,0,902,3.5,0.0
1/11/2014 23,301.781,10017.0,6.6,0,0,0,902,4.2,0.0
1/12/2014 00,1550.17,9553.0,6.1,0,0,0,902,4.5,0.0
1/12/2014 01,6226.54,9211.0,5.5,0,0,0,902,4.4,0.0
1/12/2014 02,0.0,9110.0,4.7,0,0,0,901,3.8,0.0
1/12/2014 03,0.0,8953.0,3.8,0,0,0,901,3.1,0.0
1/12/2014 04,31952.8,8958.0,3.0,0,0,0,901,2.4,0.0
1/12/2014 05,39657.4,9000.0,2.7,0,0,0,902,1.9,0.0
1/12/2014 06,40053.4,9313.0,3.5,0,0,0,903,1.5,0.0
1/12/2014 07,9014.88,9404.0,6.4,23,459,59,904,1.7,9578.15
1/12/2014 08,0.0,9731.0,9.9,47,772,238,905,1.8,35818.8
1/12/2014 09,616.862,10011.0,12.2,61,883,402,905,1.4,53551.2
1/12/2014 10,1238.42,10170.0,13.5,277,310,428,906,1.2,45662.1
1/12/2014 11,3646.75,10249.0,14.0,89,913,580,905,1.1,69315.4
1/12/2014 12,18792.3,10163.0,14.0,312,209,425,905,0.8,43256.6
1/12/2014 13,8233.85,10074.0,14.1,219,403,416,905,0.5,45762.2
1/12/2014 14,6498.12,9899.0,14.0,238,171,305,905,0.4,31966.0
1/12/2014 15,2299.9,9898.0,12.2,54,723,235,906,0.3,33897.4
1/12/2014 16,4389.21,10207.0,9.7,27,393,59,906,0.3,9288.61
1/12/2014 17,394.681,11545.0,8.0,0,0,0,907,0.9,0.0
1/12/2014 18,3287.43,12016.0,6.2,0,0,0,908,1.4,0.0
1/12/2014 19,10138.9,11940.0,5.0,0,0,0,908,1.7,0.0
1/12/2014 20,4762.39,11692.0,4.4,0,0,0,909,1.8,0.0
1/12/2014 21,27868.7,11165.0,3.8,0,0,0,909,1.9,0.0
1/12/2014 22,24040.2,10379.0,3.5,0,0,0,909,2.0,0.0
1/12/2014 23,11730.8,9568.0,3.2,0,0,0,909,2.1,0.0
1/13/2014 00,31275.4,9087.0,3.0,0,0,0,910,2.1,0.0
