timestamp,pv_kW,load_kW
2024-01-01 08:00:00+00:00,20604,21466000
2024-01-01 08:10:00+00:00,24140.3,21330500
2024-01-01 08:20:00+00:00,27807.1,21213000
2024-01-01 08:30:00+00:00,31264.9,21112000
2024-01-01 08:40:00+00:00,34718.6,21079000
2024-01-01 08:50:00+00:00,37723.8,20995000
2024-01-01 09:00:00+00:00,40445.1,20897000
2024-01-01 09:10:00+00:00,42915.6,20789000
2024-01-01 09:20:00+00:00,45179.4,20668500
2024-01-01 09:30:00+00:00,47346.5,20554500
2024-01-01 09:40:00+00:00,49611.6,20451500
2024-01-01 09:50:00+00:00,51113.8,20340500
2024-01-01 10:00:00+00:00,52717.5,20227000
2024-01-01 10:10:00+00:00,54185.4,20115500
2024-01-01 10:20:00+00:00,55517.9,20018000
2024-01-01 10:30:00+00:00,56665.5,19922000
2024-01-01 10:40:00+00:00,57740.1,19833000
2024-01-01 10:50:00+00:00,58656.6,19752000
2024-01-01 11:00:00+00:00,59356.9,19687500
2024-01-01 11:10:00+00:00,60065,19661000
2024-01-01 11:20:00+00:00,60558,19620000
2024-01-01 11:30:00+00:00,60958.1,19546500
2024-01-01 11:40:00+00:00,61145,19480000
2024-01-01 11:50:00+00:00,61264.7,19305500
2024-01-01 12:00:00+00:00,61243.8,19306500
2024-01-01 12:10:00+00:00,61157.2,19408000
2024-01-01 12:20:00+00:00,60881.6,19347500
2024-01-01 12:30:00+00:00,60488.6,19251000
2024-01-01 12:40:00+00:00,59602.8,19296500
2024-01-01 12:50:00+00:00,58889.2,19297000
2024-01-01 13:00:00+00:00,58160.2,19458000
2024-01-01 13:10:00+00:00,57219.6,19623000
2024-01-01 13:20:00+00:00,56119.1,19633500
2024-01-01 13:30:00+00:00,55228.9,19635500
2024-01-01 13:40:00+00:00,53930.1,19717500
2024-01-01 13:50:00+00:00,52345.3,19761500
2024-01-01 14:00:00+00:00,50732.6,19917000
2024-01-01 14:10:00+00:00,48911.4,20176500
2024-01-01 14:20:00+00:00,46982.8,20236000
2024-01-01 14:30:00+00:00,44876.5,20302500
2024-01-01 14:40:00+00:00,42615.7,20389500
2024-01-01 14:50:00+00:00,40153.4,20478000
2024-01-01 15:00:00+00:00,37433.8,20521000
2024-01-01 15:10:00+00:00,34654.9,20614500
2024-01-01 15:20:00+00:00,31425.1,20597500
2024-01-01 15:30:00+00:00,28030.4,20556000
2024-01-01 15:40:00+00:00,24387.9,20559500
2024-01-01 15:50:00+00:00,20633.5,20474500
2024-01-01 16:00:00+00:00,16960.7,20481000
2024-01-01 16:10:00+00:00,13015.9,20509500
2024-01-01 16:20:00+00:00,8600.98,20375000
2024-01-01 16:30:00+00:00,4595.62,20182500
2024-01-01 16:40:00+00:00,1717.28,20001500
2024-01-01 16:50:00+00:00,0,19853000
2024-01-01 17:00:00+00:00,0,19759000
2024-01-01 17:10:00+00:00,0,19647000
2024-01-01 17:20:00+00:00,0,19399000
2024-01-01 17:30:00+00:00,0,19159500
2024-01-01 17:40:00+00:00,0,18984500
2024-01-01 17:50:00+00:00,0,18754000
2024-01-01 18:00:00+00:00,0,18523000
2024-01-01 18:10:00+00:00,0,18449000
2024-01-01 18:20:00+00:00,0,18230500
2024-01-01 18:30:00+00:00,0,18048000
2024-01-01 18:40:00+00:00,0,17887500
2024-01-01 18:50:00+00:00,0,17678000
2024-01-01 19:00:00+00:00,0,17600000
2024-01-01 19:10:00+00:00,0,17510500
2024-01-01 19:20:00+00:00,0,17323500
2024-01-01 19:30:00+00:00,0,17203500
2024-01-01 19:40:00+00:00,0,17155000
2024-01-01 19:50:00+00:00,0,16993500
2024-01-01 20:00:00+00:00,0,16904000
2024-01-01 20:10:00+00:00,0,16819000
2024-01-01 20:20:00+00:00,0,16797500
2024-01-01 20:30:00+00:00,0,16780500
2024-01-01 20:40:00+00:00,0,16833000
2024-01-01 20:50:00+00:00,0,16835500
2024-01-01 21:00:00+00:00,0,16816000
2024-01-01 21:10:00+00:00,0,16792500
2024-01-01 21:20:00+00:00,0,16913000
2024-01-01 21:30:00+00:00,0,17012500
2024-01-01 21:40:00+00:00,0,17192000
2024-01-01 21:50:00+00:00,0,17271000
2024-01-01 22:00:00+00:00,0,17255000
2024-01-01 22:10:00+00:00,0,17431500
2024-01-01 22:20:00+00:00,0,17657000
2024-01-01 22:30:00+00:00,0,17809000
2024-01-01 22:40:00+00:00,0,18054000
2024-01-01 22:50:00+00:00,0,18366000
2024-01-01 23:00:00+00:00,0,18462500
2024-01-01 23:10:00+00:00,0,18708500
2024-01-01 23:20:00+00:00,0,19129000
2024-01-01 23:30:00+00:00,0,19520000
2024-01-01 23:40:00+00:00,0,19953500
2024-01-01 23:50:00+00:00,0,20388500
2024-01-02 00:00:00+00:00,0,20769500
2024-01-02 00:10:00+00:00,0,21180500
2024-01-02 00:20:00+00:00,0,21610500
2024-01-02 00:30:00+00:00,0,22077000
2024-01-02 00:40:00+00:00,0,22587500
2024-01-02 00:50:00+00:00,0,23070000
2024-01-02 01:00:00+00:00,0,23500500
2024-01-02 01:10:00+00:00,0,24025000
2024-01-02 01:20:00+00:00,0,24429500
2024-01-02 01:30:00+00:00,0,24657000
2024-01-02 01:40:00+00:00,0,24791500
2024-01-02 01:50:00+00:00,0,24871500
