timestamp,pv_kW,load_kW,DHI,DNI,GHI,Wind Speed,Temperature,Pressure
2024-01-01 08:00:00+00:00,20604.0,21466000.0,42,571,134,0,6.7,905
2024-01-01 08:10:00+00:00,24140.3,21330500.0,46,618,163,0,7.2,905
2024-01-01 08:20:00+00:00,27807.1,21213000.0,50,658,192,0,7.6,905
2024-01-01 08:30:00+00:00,31264.9,21112000.0,53,693,221,0,8.0,905
2024-01-01 08:40:00+00:00,34718.6,21079000.0,55,730,250,0,8.4,905
2024-01-01 08:50:00+00:00,37723.8,20995000.0,57,756,277,0,8.9,905
2024-01-01 09:00:00+00:00,40445.1,20897000.0,60,778,304,0,9.3,905
2024-01-01 09:10:00+00:00,42915.6,20789000.0,62,798,330,0,9.6,905
2024-01-01 09:20:00+00:00,45179.4,20668500.0,64,815,355,0,10.0,905
2024-01-01 09:30:00+00:00,47346.5,20554500.0,66,831,379,0,10.3,905
2024-01-01 09:40:00+00:00,49611.6,20451500.0,63,860,404,0,10.6,905
2024-01-01 09:50:00+00:00,51113.8,20340500.0,65,871,425,0,10.9,905
2024-01-01 10:00:00+00:00,52717.5,20227000.0,66,882,445,0,11.3,905
2024-01-01 10:10:00+00:00,54185.4,20115500.0,67,891,463,0,11.5,905
2024-01-01 10:20:00+00:00,55517.9,20018000.0,68,899,480,0,11.7,905
2024-01-01 10:30:00+00:00,56665.5,19922000.0,69,905,496,0,11.9,905
2024-01-01 10:40:00+00:00,57740.1,19833000.0,69,913,510,0,12.1,905
2024-01-01 10:50:00+00:00,58656.6,19752000.0,70,918,522,0,12.3,905
2024-01-01 11:00:00+00:00,59356.9,19687500.0,70,922,533,0,12.5,905
2024-01-01 11:10:00+00:00,60065.0,19661000.0,71,926,541,0,12.6,905
2024-01-01 11:20:00+00:00,60558.0,19620000.0,71,929,549,0,12.7,904
2024-01-01 11:30:00+00:00,60958.1,19546500.0,72,931,554,0,12.9,904
2024-01-01 11:40:00+00:00,61145.0,19480000.0,71,933,558,0,13.0,904
2024-01-01 11:50:00+00:00,61264.7,19305500.0,71,934,560,0,13.1,904
2024-01-01 12:00:00+00:00,61243.8,19306500.0,71,934,560,0,13.2,904
2024-01-01 12:10:00+00:00,61157.2,19408000.0,71,934,558,0,13.2,904
