"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:10 am",0
"Jan 1, 12:20 am",0
"Jan 1, 12:30 am",0
"Jan 1, 12:40 am",0
"Jan 1, 12:50 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:10 am",0
"Jan 1, 01:20 am",0
"Jan 1, 01:30 am",0
"Jan 1, 01:40 am",0
"Jan 1, 01:50 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:10 am",0
"Jan 1, 02:20 am",0
"Jan 1, 02:30 am",0
"Jan 1, 02:40 am",0
"Jan 1, 02:50 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:10 am",0
"Jan 1, 03:20 am",0
"Jan 1, 03:30 am",0
"Jan 1, 03:40 am",0
"Jan 1, 03:50 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:10 am",0
"Jan 1, 04:20 am",0
"Jan 1, 04:30 am",0
"Jan 1, 04:40 am",0
"Jan 1, 04:50 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:10 am",0
"Jan 1, 05:20 am",0
"Jan 1, 05:30 am",0
"Jan 1, 05:40 am",0
"Jan 1, 05:50 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:10 am",0
"Jan 1, 06:20 am",0
"Jan 1, 06:30 am",0
"Jan 1, 06:40 am",0
"Jan 1, 06:50 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:10 am",1548.18
"Jan 1, 07:20 am",4383.28
"Jan 1, 07:30 am",8066.84
"Jan 1, 07:40 am",12779
"Jan 1, 07:50 am",16693.1
"Jan 1, 08:00 am",20604
"Jan 1, 08:10 am",24140.3
"Jan 1, 08:20 am",27807.1
"Jan 1, 08:30 am",31264.9
"Jan 1, 08:40 am",34718.6
"Jan 1, 08:50 am",37723.8
"Jan 1, 09:00 am",40445.1
"Jan 1, 09:10 am",42915.6
"Jan 1, 09:20 am",45179.4
"Jan 1, 09:30 am",47346.5
"Jan 1, 09:40 am",49611.6
"Jan 1, 09:50 am",51113.8
"Jan 1, 10:00 am",52717.5
"Jan 1, 10:10 am",54185.4
"Jan 1, 10:20 am",55517.9
"Jan 1, 10:30 am",56665.5
"Jan 1, 10:40 am",57740.1
"Jan 1, 10:50 am",58656.6
"Jan 1, 11:00 am",59356.9
"Jan 1, 11:10 am",60065
"Jan 1, 11:20 am",60558
"Jan 1, 11:30 am",60958.1
"Jan 1, 11:40 am",61145
"Jan 1, 11:50 am",61264.7
"Jan 1, 12:00 pm",61243.8
"Jan 1, 12:10 pm",61157.2
"Jan 1, 12:20 pm",60881.6
"Jan 1, 12:30 pm",60488.6
"Jan 1, 12:40 pm",59602.8
"Jan 1, 12:50 pm",58889.2
"Jan 1, 01:00 pm",58160.2
"Jan 1, 01:10 pm",57219.6
"Jan 1, 01:20 pm",56119.1
"Jan 1, 01:30 pm",55228.9
"Jan 1, 01:40 pm",53930.1
"Jan 1, 01:50 pm",52345.3
"Jan 1, 02:00 pm",50732.6
"Jan 1, 02:10 pm",48911.4
"Jan 1, 02:20 pm",46982.8
"Jan 1, 02:30 pm",44876.5
"Jan 1, 02:40 pm",42615.7
"Jan 1, 02:50 pm",40153.4
"Jan 1, 03:00 pm",37433.8
"Jan 1, 03:10 pm",34654.9
"Jan 1, 03:20 pm",31425.1
"Jan 1, 03:30 pm",28030.4
"Jan 1, 03:40 pm",24387.9
"Jan 1, 03:50 pm",20633.5
"Jan 1, 04:00 pm",16960.7
"Jan 1, 04:10 pm",13015.9
"Jan 1, 04:20 pm",8600.98
"Jan 1, 04:30 pm",4595.62
"Jan 1, 04:40 pm",1717.28
"Jan 1, 04:50 pm",0
"Jan 1, 05:00 pm",0
"Jan 1, 05:10 pm",0
"Jan 1, 05:20 pm",0
"Jan 1, 05:30 pm",0
"Jan 1, 05:40 pm",0
"Jan 1, 05:50 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:10 pm",0
"Jan 1, 06:20 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 06:40 pm",0
"Jan 1, 06:50 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:10 pm",0
"Jan 1, 07:20 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 07:40 pm",0
"Jan 1, 07:50 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:10 pm",0
"Jan 1, 08:20 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 08:40 pm",0
"Jan 1, 08:50 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:10 pm",0
"Jan 1, 09:20 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 09:40 pm",0
"Jan 1, 09:50 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:10 pm",0
"Jan 1, 10:20 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 10:40 pm",0
"Jan 1, 10:50 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:10 pm",0
"Jan 1, 11:20 pm",0
"Jan 1, 11:30 pm",0
"Jan 1, 11:40 pm",0
"Jan 1, 11:50 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:10 am",0
"Jan 2, 12:20 am",0
"Jan 2, 12:30 am",0
"Jan 2, 12:40 am",0
"Jan 2, 12:50 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:10 am",0
"Jan 2, 01:20 am",0
"Jan 2, 01:30 am",0
"Jan 2, 01:40 am",0
"Jan 2, 01:50 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:10 am",0
"Jan 2, 02:20 am",0
"Jan 2, 02:30 am",0
"Jan 2, 02:40 am",0
"Jan 2, 02:50 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:10 am",0
"Jan 2, 03:20 am",0
"Jan 2, 03:30 am",0
"Jan 2, 03:40 am",0
"Jan 2, 03:50 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:10 am",0
"Jan 2, 04:20 am",0
"Jan 2, 04:30 am",0
"Jan 2, 04:40 am",0
"Jan 2, 04:50 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:10 am",0
"Jan 2, 05:20 am",0
"Jan 2, 05:30 am",0
"Jan 2, 05:40 am",0
"Jan 2, 05:50 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:10 am",0
"Jan 2, 06:20 am",0
"Jan 2, 06:30 am",0
"Jan 2, 06:40 am",0
"Jan 2, 06:50 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:10 am",1839.94
"Jan 2, 07:20 am",4661.85
"Jan 2, 07:30 am",8343.8
"Jan 2, 07:40 am",13000.6
"Jan 2, 07:50 am",17092.1
"Jan 2, 08:00 am",6384.58
"Jan 2, 08:10 am",18979.5
"Jan 2, 08:20 am",28669.1
"Jan 2, 08:30 am",32129
"Jan 2, 08:40 am",35407.3
"Jan 2, 08:50 am",38234.9
"Jan 2, 09:00 am",41000.2
"Jan 2, 09:10 am",22477.5
"Jan 2, 09:20 am",25978.3
"Jan 2, 09:30 am",40979.7
"Jan 2, 09:40 am",39502
"Jan 2, 09:50 am",20452.6
"Jan 2, 10:00 am",39736.4
"Jan 2, 10:10 am",38512
"Jan 2, 10:20 am",40825.7
"Jan 2, 10:30 am",42032.3
"Jan 2, 10:40 am",31030.9
"Jan 2, 10:50 am",38847.2
"Jan 2, 11:00 am",45819.1
"Jan 2, 11:10 am",59971.4
"Jan 2, 11:20 am",47972.2
"Jan 2, 11:30 am",50312.6
"Jan 2, 11:40 am",48326.5
"Jan 2, 11:50 am",49834.8
"Jan 2, 12:00 pm",43225.1
"Jan 2, 12:10 pm",40977.5
"Jan 2, 12:20 pm",37691.3
"Jan 2, 12:30 pm",49285.4
"Jan 2, 12:40 pm",31024.5
"Jan 2, 12:50 pm",25750.5
"Jan 2, 01:00 pm",43229.2
"Jan 2, 01:10 pm",26323.8
"Jan 2, 01:20 pm",31846.5
"Jan 2, 01:30 pm",34893.5
"Jan 2, 01:40 pm",30578.7
"Jan 2, 01:50 pm",18282
"Jan 2, 02:00 pm",14098.3
"Jan 2, 02:10 pm",21207
"Jan 2, 02:20 pm",20517.3
"Jan 2, 02:30 pm",12352.1
"Jan 2, 02:40 pm",16265
"Jan 2, 02:50 pm",24352.1
"Jan 2, 03:00 pm",25837.1
"Jan 2, 03:10 pm",13746.5
"Jan 2, 03:20 pm",19209.6
"Jan 2, 03:30 pm",10459.4
"Jan 2, 03:40 pm",15369.5
"Jan 2, 03:50 pm",6725.5
"Jan 2, 04:00 pm",17592
"Jan 2, 04:10 pm",13670.3
"Jan 2, 04:20 pm",9541
"Jan 2, 04:30 pm",5186.21
"Jan 2, 04:40 pm",2296.73
"Jan 2, 04:50 pm",-0
"Jan 2, 05:00 pm",0
"Jan 2, 05:10 pm",0
"Jan 2, 05:20 pm",0
"Jan 2, 05:30 pm",0
"Jan 2, 05:40 pm",0
"Jan 2, 05:50 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:10 pm",0
"Jan 2, 06:20 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 06:40 pm",0
"Jan 2, 06:50 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:10 pm",0
"Jan 2, 07:20 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 07:40 pm",0
"Jan 2, 07:50 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:10 pm",0
"Jan 2, 08:20 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 08:40 pm",0
"Jan 2, 08:50 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:10 pm",0
"Jan 2, 09:20 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 09:40 pm",0
"Jan 2, 09:50 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:10 pm",0
"Jan 2, 10:20 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 10:40 pm",0
"Jan 2, 10:50 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:10 pm",0
"Jan 2, 11:20 pm",0
"Jan 2, 11:30 pm",0
"Jan 2, 11:40 pm",0
"Jan 2, 11:50 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:10 am",0
"Jan 3, 12:20 am",0
"Jan 3, 12:30 am",0
"Jan 3, 12:40 am",0
"Jan 3, 12:50 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:10 am",0
"Jan 3, 01:20 am",0
"Jan 3, 01:30 am",0
"Jan 3, 01:40 am",0
"Jan 3, 01:50 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:10 am",0
"Jan 3, 02:20 am",0
"Jan 3, 02:30 am",0
"Jan 3, 02:40 am",0
"Jan 3, 02:50 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:10 am",0
"Jan 3, 03:20 am",0
"Jan 3, 03:30 am",0
"Jan 3, 03:40 am",0
"Jan 3, 03:50 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:10 am",0
"Jan 3, 04:20 am",0
"Jan 3, 04:30 am",0
"Jan 3, 04:40 am",0
"Jan 3, 04:50 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:10 am",0
"Jan 3, 05:20 am",0
"Jan 3, 05:30 am",0
"Jan 3, 05:40 am",0
"Jan 3, 05:50 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:10 am",0
"Jan 3, 06:20 am",0
"Jan 3, 06:30 am",0
"Jan 3, 06:40 am",0
"Jan 3, 06:50 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:10 am",2179.09
"Jan 3, 07:20 am",5111.23
"Jan 3, 07:30 am",8927.63
"Jan 3, 07:40 am",13759.3
"Jan 3, 07:50 am",17952.1
"Jan 3, 08:00 am",22041.1
"Jan 3, 08:10 am",25924
"Jan 3, 08:20 am",29673.5
"Jan 3, 08:30 am",33079
"Jan 3, 08:40 am",36362.1
"Jan 3, 08:50 am",39517.1
