"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:10 am",0
"Jan 1, 12:20 am",0
"Jan 1, 12:30 am",0
"Jan 1, 12:40 am",0
"Jan 1, 12:50 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:10 am",0
"Jan 1, 01:20 am",0
"Jan 1, 01:30 am",0
"Jan 1, 01:40 am",0
"Jan 1, 01:50 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:10 am",0
"Jan 1, 02:20 am",0
"Jan 1, 02:30 am",0
"Jan 1, 02:40 am",0
"Jan 1, 02:50 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:10 am",0
"Jan 1, 03:20 am",0
"Jan 1, 03:30 am",0
"Jan 1, 03:40 am",0
"Jan 1, 03:50 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:10 am",0
"Jan 1, 04:20 am",0
"Jan 1, 04:30 am",0
"Jan 1, 04:40 am",0
"Jan 1, 04:50 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:10 am",0
"Jan 1, 05:20 am",0
"Jan 1, 05:30 am",0
"Jan 1, 05:40 am",0
"Jan 1, 05:50 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:10 am",0
"Jan 1, 06:20 am",0
"Jan 1, 06:30 am",0
"Jan 1, 06:40 am",0
"Jan 1, 06:50 am",0
"Jan 1, 07:00 am",-0
"Jan 1, 07:10 am",-0
"Jan 1, 07:20 am",0.746684
"Jan 1, 07:30 am",1.93882
"Jan 1, 07:40 am",3.34254
"Jan 1, 07:50 am",5.18824
"Jan 1, 08:00 am",7.17894
"Jan 1, 08:10 am",7.61831
"Jan 1, 08:20 am",9.74291
"Jan 1, 08:30 am",15.7504
"Jan 1, 08:40 am",24.8827
"Jan 1, 08:50 am",27.5263
"Jan 1, 09:00 am",26.3572
"Jan 1, 09:10 am",27.0693
"Jan 1, 09:20 am",29.451
"Jan 1, 09:30 am",39.8211
"Jan 1, 09:40 am",36.4404
"Jan 1, 09:50 am",38.6435
"Jan 1, 10:00 am",40.6945
"Jan 1, 10:10 am",61.1778
"Jan 1, 10:20 am",62.8877
"Jan 1, 10:30 am",64.3986
"Jan 1, 10:40 am",65.5949
"Jan 1, 10:50 am",66.985
"Jan 1, 11:00 am",67.9508
"Jan 1, 11:10 am",69.0846
"Jan 1, 11:20 am",69.8112
"Jan 1, 11:30 am",62.1774
"Jan 1, 11:40 am",70.9589
"Jan 1, 11:50 am",71.4996
"Jan 1, 12:00 pm",63.8119
"Jan 1, 12:10 pm",72.0549
"Jan 1, 12:20 pm",72.1864
"Jan 1, 12:30 pm",64.3566
"Jan 1, 12:40 pm",72.3276
"Jan 1, 12:50 pm",72.1645
"Jan 1, 01:00 pm",71.651
"Jan 1, 01:10 pm",71.3172
"Jan 1, 01:20 pm",70.6174
"Jan 1, 01:30 pm",69.5982
"Jan 1, 01:40 pm",68.5749
"Jan 1, 01:50 pm",67.3892
"Jan 1, 02:00 pm",66.1296
"Jan 1, 02:10 pm",45.4338
"Jan 1, 02:20 pm",43.765
"Jan 1, 02:30 pm",61.7819
"Jan 1, 02:40 pm",59.7631
"Jan 1, 02:50 pm",57.7507
"Jan 1, 03:00 pm",55.5695
"Jan 1, 03:10 pm",53.1062
"Jan 1, 03:20 pm",50.6523
"Jan 1, 03:30 pm",47.9154
"Jan 1, 03:40 pm",44.9456
"Jan 1, 03:50 pm",41.8318
"Jan 1, 04:00 pm",24.7279
"Jan 1, 04:10 pm",35.117
"Jan 1, 04:20 pm",31.3105
"Jan 1, 04:30 pm",27.2898
"Jan 1, 04:40 pm",23.1398
"Jan 1, 04:50 pm",18.8612
"Jan 1, 05:00 pm",14.6701
"Jan 1, 05:10 pm",10.4886
"Jan 1, 05:20 pm",5.61077
"Jan 1, 05:30 pm",2.06449
"Jan 1, 05:40 pm",-0
"Jan 1, 05:50 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:10 pm",0
"Jan 1, 06:20 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 06:40 pm",0
"Jan 1, 06:50 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:10 pm",0
"Jan 1, 07:20 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 07:40 pm",0
"Jan 1, 07:50 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:10 pm",0
"Jan 1, 08:20 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 08:40 pm",0
"Jan 1, 08:50 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:10 pm",0
"Jan 1, 09:20 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 09:40 pm",0
"Jan 1, 09:50 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:10 pm",0
"Jan 1, 10:20 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 10:40 pm",0
"Jan 1, 10:50 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:10 pm",0
"Jan 1, 11:20 pm",0
"Jan 1, 11:30 pm",0
"Jan 1, 11:40 pm",0
"Jan 1, 11:50 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:10 am",0
"Jan 2, 12:20 am",0
"Jan 2, 12:30 am",0
"Jan 2, 12:40 am",0
"Jan 2, 12:50 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:10 am",0
"Jan 2, 01:20 am",0
"Jan 2, 01:30 am",0
"Jan 2, 01:40 am",0
"Jan 2, 01:50 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:10 am",0
"Jan 2, 02:20 am",0
"Jan 2, 02:30 am",0
"Jan 2, 02:40 am",0
"Jan 2, 02:50 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:10 am",0
"Jan 2, 03:20 am",0
"Jan 2, 03:30 am",0
"Jan 2, 03:40 am",0
"Jan 2, 03:50 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:10 am",0
"Jan 2, 04:20 am",0
"Jan 2, 04:30 am",0
"Jan 2, 04:40 am",0
"Jan 2, 04:50 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:10 am",0
"Jan 2, 05:20 am",0
"Jan 2, 05:30 am",0
"Jan 2, 05:40 am",0
"Jan 2, 05:50 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:10 am",0
"Jan 2, 06:20 am",0
"Jan 2, 06:30 am",0
"Jan 2, 06:40 am",0
"Jan 2, 06:50 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:10 am",1.02651
"Jan 2, 07:20 am",3.31138
"Jan 2, 07:30 am",8.67511
"Jan 2, 07:40 am",13.2178
"Jan 2, 07:50 am",17.5514
"Jan 2, 08:00 am",22.0015
"Jan 2, 08:10 am",26.2623
"Jan 2, 08:20 am",30.4694
"Jan 2, 08:30 am",34.4666
"Jan 2, 08:40 am",38.4443
"Jan 2, 08:50 am",42.0681
"Jan 2, 09:00 am",45.3391
"Jan 2, 09:10 am",48.4211
"Jan 2, 09:20 am",51.3753
"Jan 2, 09:30 am",54.0924
"Jan 2, 09:40 am",56.6637
"Jan 2, 09:50 am",59.0562
"Jan 2, 10:00 am",60.8348
"Jan 2, 10:10 am",62.7583
"Jan 2, 10:20 am",64.5352
"Jan 2, 10:30 am",53.6958
"Jan 2, 10:40 am",67.7116
"Jan 2, 10:50 am",68.9416
"Jan 2, 11:00 am",69.9862
"Jan 2, 11:10 am",70.8557
"Jan 2, 11:20 am",71.8666
"Jan 2, 11:30 am",72.6087
"Jan 2, 11:40 am",73.3405
"Jan 2, 11:50 am",73.5834
"Jan 2, 12:00 pm",73.9285
"Jan 2, 12:10 pm",74.2454
"Jan 2, 12:20 pm",74.6605
"Jan 2, 12:30 pm",74.6389
"Jan 2, 12:40 pm",74.361
"Jan 2, 12:50 pm",74.33
"Jan 2, 01:00 pm",73.8759
"Jan 2, 01:10 pm",73.3509
"Jan 2, 01:20 pm",72.7852
"Jan 2, 01:30 pm",71.8968
"Jan 2, 01:40 pm",70.8597
"Jan 2, 01:50 pm",69.9089
"Jan 2, 02:00 pm",59.6973
"Jan 2, 02:10 pm",67.0479
"Jan 2, 02:20 pm",65.399
"Jan 2, 02:30 pm",63.6271
"Jan 2, 02:40 pm",51.9835
"Jan 2, 02:50 pm",49.7484
"Jan 2, 03:00 pm",44.5029
"Jan 2, 03:10 pm",43.3804
"Jan 2, 03:20 pm",40.818
"Jan 2, 03:30 pm",46.8288
"Jan 2, 03:40 pm",38.9995
"Jan 2, 03:50 pm",35.5317
"Jan 2, 04:00 pm",35.288
"Jan 2, 04:10 pm",24.3154
"Jan 2, 04:20 pm",20.9693
"Jan 2, 04:30 pm",28.8938
"Jan 2, 04:40 pm",24.8145
"Jan 2, 04:50 pm",20.5075
"Jan 2, 05:00 pm",16.3526
"Jan 2, 05:10 pm",11.9583
"Jan 2, 05:20 pm",6.85939
"Jan 2, 05:30 pm",2.66115
"Jan 2, 05:40 pm",-0
"Jan 2, 05:50 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:10 pm",0
"Jan 2, 06:20 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 06:40 pm",0
"Jan 2, 06:50 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:10 pm",0
"Jan 2, 07:20 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 07:40 pm",0
"Jan 2, 07:50 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:10 pm",0
"Jan 2, 08:20 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 08:40 pm",0
"Jan 2, 08:50 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:10 pm",0
"Jan 2, 09:20 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 09:40 pm",0
"Jan 2, 09:50 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:10 pm",0
"Jan 2, 10:20 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 10:40 pm",0
"Jan 2, 10:50 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:10 pm",0
"Jan 2, 11:20 pm",0
"Jan 2, 11:30 pm",0
"Jan 2, 11:40 pm",0
"Jan 2, 11:50 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:10 am",0
"Jan 3, 12:20 am",0
"Jan 3, 12:30 am",0
"Jan 3, 12:40 am",0
"Jan 3, 12:50 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:10 am",0
"Jan 3, 01:20 am",0
"Jan 3, 01:30 am",0
"Jan 3, 01:40 am",0
"Jan 3, 01:50 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:10 am",0
"Jan 3, 02:20 am",0
"Jan 3, 02:30 am",0
"Jan 3, 02:40 am",0
"Jan 3, 02:50 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:10 am",0
"Jan 3, 03:20 am",0
"Jan 3, 03:30 am",0
"Jan 3, 03:40 am",0
"Jan 3, 03:50 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:10 am",0
"Jan 3, 04:20 am",0
"Jan 3, 04:30 am",0
"Jan 3, 04:40 am",0
"Jan 3, 04:50 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:10 am",0
"Jan 3, 05:20 am",0
"Jan 3, 05:30 am",0
"Jan 3, 05:40 am",0
"Jan 3, 05:50 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:10 am",0
"Jan 3, 06:20 am",0
"Jan 3, 06:30 am",0
"Jan 3, 06:40 am",0
"Jan 3, 06:50 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:10 am",0.00173993
"Jan 3, 07:20 am",0.887664
"Jan 3, 07:30 am",3.70834
"Jan 3, 07:40 am",6.62397
"Jan 3, 07:50 am",9.96959
"Jan 3, 08:00 am",14.3369
"Jan 3, 08:10 am",17.9883
"Jan 3, 08:20 am",21.6516
